G1	G2	G3	G4	G5	X	Y
1	0	1	0	0	95.4712058281696	125.601747418083
1	0	0	0	0	95.2370217700624	120.289846947665
1	0	1	1	0	91.9825405631363	107.056265781592
0	0	0	0	0	98.8256570865308	121.563759416467
0	0	0	0	0	100.088903513332	126.271913826326
0	0	1	0	1	99.6801735846245	127.514048345803
0	1	0	0	0	94.0162009266351	114.028565957643
0	0	0	1	0	100.725109137518	129.193994495528
1	0	0	0	0	92.5648161181486	114.246999919687
2	0	0	0	0	100.928516297314	133.934387235563
0	1	1	0	0	99.7454626350133	119.218698650793
1	0	0	0	1	101.70836184825	132.272095477544
0	0	1	0	0	100.408397482634	132.261747122176
1	1	0	0	0	97.59311060049	121.866714414344
0	0	0	0	1	96.8143774238535	123.275123251126
0	1	0	0	0	99.2056712516534	130.19579965852
0	0	1	0	0	100.998675437215	126.611214660408
1	1	0	0	0	99.3639813733936	124.780925395322
0	1	1	0	0	103.448889575941	130.771671653311
1	0	0	0	1	97.7111540227967	116.745939052575
2	1	0	0	0	98.6707166866726	117.713639207087
0	0	0	1	0	93.3904164332063	119.404901566782
1	0	2	0	0	98.043530360417	127.212662241393
0	0	1	1	0	90.5203267131296	106.553357639122
1	1	0	0	1	100.398298772306	130.975717375401
1	0	0	0	1	95.7796231515456	119.267169506078
2	0	0	0	0	102.005834131111	138.541849299625
0	0	1	1	0	97.4384544795322	119.995634508423
0	1	0	0	0	91.984034816854	108.717235265799
0	0	0	1	1	96.5737272614431	118.065085595719
2	1	1	1	1	95.8307411370782	119.509258915155
0	1	1	0	0	100.782886269279	131.649898907787
0	0	0	0	0	98.5648220056539	119.60445729604
1	0	0	0	1	94.6510471698145	121.01474912682
1	0	0	0	0	98.9724085980716	123.817567075262
0	0	0	0	1	93.2710458227623	114.14113848916
1	0	0	0	0	100.197593860036	134.666351554486
0	1	0	0	0	91.9817370800067	112.856495270988
0	1	0	0	0	92.5476888162865	113.536605169127
1	0	0	0	0	100.41757256855	115.749586169958
1	0	0	0	1	94.500580805951	120.975137995371
0	0	1	0	0	93.9065009980277	112.953655087764
1	0	1	1	1	96.318649463869	125.049549172639
1	0	1	0	0	98.3694545933452	129.91761411032
1	1	0	1	1	102.764388490533	122.448986395345
1	0	1	0	0	95.8688258102508	121.983038654976
0	0	0	0	0	89.2787726811733	111.420602715909
1	0	1	1	0	89.9951089472652	89.5448624165202
1	1	1	0	0	102.187341512254	139.916288294508
2	0	2	0	0	106.146039798362	133.526181059678
0	0	1	0	0	94.1095607901289	103.77081588057
0	0	0	0	0	106.643576271769	137.287586946514
2	1	1	0	0	95.1459545813608	126.12924992425
0	1	1	0	0	101.263599538667	139.357654032009
1	0	1	1	0	95.480284246108	109.621061122497
2	0	0	0	0	96.1211672781673	124.002894777706
0	1	1	0	0	89.2626120650599	109.359104894027
1	1	0	1	0	98.489028271655	118.244839782168
0	1	1	0	0	92.8042564379602	112.273074726953
0	0	1	1	0	88.4841510946725	109.989626785433
0	0	0	0	0	93.1786167275517	110.26141820282
1	0	1	0	0	91.1889401115578	104.693499966501
0	2	1	2	0	106.767858208157	139.195128028249
0	0	0	0	0	93.299495769252	115.245037565371
0	1	0	0	1	100.775366574096	122.837439451569
1	0	0	0	0	89.0993485083681	102.446253079501
1	0	0	0	0	97.0001798509883	117.829324217536
1	0	0	1	1	95.0947481406617	113.576193199409
1	0	0	1	0	96.5991869984727	112.795674343638
2	1	1	0	0	106.916948282372	131.425386631559
1	0	0	0	0	99.8047528453992	119.329851692578
0	0	0	0	0	97.3274507775831	125.103704416468
1	0	0	0	1	95.1614786952113	119.998622323193
1	0	1	1	0	103.271956017062	137.579567634887
0	0	0	0	0	96.2634576312996	115.273583267864
1	0	0	1	0	94.8599093256535	109.120346563137
1	1	1	0	0	93.5704627361238	110.713282524898
1	0	0	0	0	102.366286612999	121.994937739043
1	0	1	1	0	103.1968589071	133.431307552281
0	0	0	0	1	92.3039772441386	115.959688841533
1	0	0	0	1	101.397822578724	129.015982825059
